Report Type : StationReport;;
Date;Time;NO2
;;ppb
1/8/18;2:00 a. m.;10.7
1/8/18;3:00 a. m.;14.6
1/8/18;4:00 a. m.;11.8
1/8/18;5:00 a. m.;14.3
1/8/18;6:00 a. m.;18.3
1/8/18;7:00 a. m.;24.6
1/8/18;8:00 a. m.;31.3
1/8/18;9:00 a. m.;31.2
1/8/18;10:00 a. m.;29.9
1/8/18;11:00 a. m.;27.3
1/8/18;12:00 p. m.;29
1/8/18;1:00 p. m.;26.6
1/8/18;2:00 p. m.;26.7
1/8/18;3:00 p. m.;30.2
1/8/18;4:00 p. m.;31
1/8/18;5:00 p. m.;28.3
1/8/18;6:00 p. m.;23.2
1/8/18;7:00 p. m.;29.2
1/8/18;8:00 p. m.;25.7
1/8/18;9:00 p. m.;25.9
1/8/18;10:00 p. m.;26.4
1/8/18;11:00 p. m.;28.1
1/8/18;24:00 AM;24.6
1/9/18;1:00 a. m.;26.2
1/9/18;2:00 a. m.;23.8
1/9/18;3:00 a. m.;21.8
1/9/18;4:00 a. m.;25.2
1/9/18;5:00 a. m.;18.9
1/9/18;6:00 a. m.;16.7
1/9/18;7:00 a. m.;19.6
1/9/18;8:00 a. m.;19.8
1/9/18;9:00 a. m.;20.3
1/9/18;10:00 a. m.;12.2
1/9/18;11:00 a. m.;10.8
1/9/18;12:00 p. m.;8
1/9/18;1:00 p. m.;8.7
1/9/18;2:00 p. m.;9.1
1/9/18;3:00 p. m.;11
1/9/18;4:00 p. m.;13.4
1/9/18;5:00 p. m.;12.2
1/9/18;6:00 p. m.;9.4
1/9/18;7:00 p. m.;14.2
1/9/18;8:00 p. m.;13.8
1/9/18;9:00 p. m.;11
1/9/18;10:00 p. m.;8.8
1/9/18;11:00 p. m.;10.8
1/9/18;24:00 AM;11.2
1/10/18;1:00 a. m.;7.7
1/10/18;2:00 a. m.;6.3
1/10/18;3:00 a. m.;8.8
1/10/18;4:00 a. m.;7.3
1/10/18;5:00 a. m.;7.7
1/10/18;6:00 a. m.;11.5
1/10/18;7:00 a. m.;15.8
1/10/18;8:00 a. m.;22.1
1/10/18;9:00 a. m.;25.8
1/10/18;10:00 a. m.;24.6
1/10/18;11:00 a. m.;17.5
1/10/18;12:00 p. m.;11.8
1/10/18;1:00 p. m.;15.7
1/10/18;2:00 p. m.;11.4
1/10/18;3:00 p. m.;16.9
1/10/18;4:00 p. m.;18.4
1/10/18;5:00 p. m.;23.8
1/10/18;6:00 p. m.;34.5
1/10/18;7:00 p. m.;31.5
1/10/18;8:00 p. m.;27.1
1/10/18;9:00 p. m.;23.5
1/10/18;10:00 p. m.;20.4
1/10/18;11:00 p. m.;18
1/10/18;24:00 AM;16.9
1/11/18;1:00 a. m.;18.3
1/11/18;2:00 a. m.;15.3
1/11/18;3:00 a. m.;19.4
1/11/18;4:00 a. m.;18.5
1/11/18;5:00 a. m.;15.4
1/11/18;6:00 a. m.;19.8
1/11/18;7:00 a. m.;22
1/11/18;8:00 a. m.;24.4
1/11/18;9:00 a. m.;29.3
1/11/18;10:00 a. m.;29.3
1/11/18;11:00 a. m.;26.9
1/11/18;12:00 p. m.;29.1
1/11/18;1:00 p. m.;24.1
1/11/18;2:00 p. m.;25.1
1/11/18;3:00 p. m.;30.6
1/11/18;4:00 p. m.;30.1
1/11/18;5:00 p. m.;26.6
1/11/18;6:00 p. m.;20.4
1/11/18;7:00 p. m.;17.2
1/11/18;8:00 p. m.;21.3
1/11/18;9:00 p. m.;23.7
1/11/18;10:00 p. m.;27.4
1/11/18;11:00 p. m.;28.5
1/11/18;24:00 AM;24.4
1/12/18;1:00 a. m.;25.2
1/12/18;2:00 a. m.;24.7
1/12/18;3:00 a. m.;21.5
1/12/18;4:00 a. m.;21
