Report Type : StationReport;;
Date;Time;NO2
;;ppb
1/30/2018;11:00 a. m.;13.9
1/30/2018;12:00 p. m.;25.7
1/30/2018;1:00 p. m.;11
1/30/2018;2:00 p. m.;15
1/30/2018;3:00 p. m.;13.2
1/30/2018;4:00 p. m.;13.5
1/30/2018;5:00 p. m.;13.8
1/30/2018;6:00 p. m.;13.5
1/30/2018;7:00 p. m.;9.1
1/30/2018;8:00 p. m.;14.7
1/30/2018;9:00 p. m.;13.5
1/30/2018;10:00 p. m.;11.7
1/30/2018;11:00 p. m.;16
1/30/2018;24:00 AM;34.3
1/31/2018;1:00 a. m.;35.8
1/31/2018;2:00 a. m.;30.5
1/31/2018;3:00 a. m.;23.1
1/31/2018;4:00 a. m.;19.3
1/31/2018;5:00 a. m.;14.7
1/31/2018;6:00 a. m.;15.8
1/31/2018;7:00 a. m.;18.5
1/31/2018;8:00 a. m.;21.3
1/31/2018;9:00 a. m.;22.4
1/31/2018;10:00 a. m.;21.8
1/31/2018;11:00 a. m.;25.1
1/31/2018;12:00 p. m.;25.9
1/31/2018;1:00 p. m.;23.5
1/31/2018;2:00 p. m.;29
1/31/2018;3:00 p. m.;29.8
1/31/2018;4:00 p. m.;28.9
1/31/2018;5:00 p. m.;24.2
1/31/2018;6:00 p. m.;24
1/31/2018;7:00 p. m.;19.6
1/31/2018;8:00 p. m.;14.8
1/31/2018;9:00 p. m.;18.7
1/31/2018;10:00 p. m.;15.8
1/31/2018;11:00 p. m.;17.4
1/31/2018;24:00 AM;18.5
Minimum;;4.4
Min Date;;1/21/2018 4:00 AM
Maximum;;35.8
Max Date;;1/31/2018 1:00 AM
Avg;;21.1
Num;;743
Data[%];;100
STD;;6.6
